"distribucion";"n";"delta";"metodo";"varianza";"tasa";"prob_elegir_t"
5;10;0;"perverso";1;0,0552;0,7828
5;10;0;"t_test";4;0,0484;0,7926
5;10;0;"wilcoxon";4;0,0607;0,7926
5;10;0;"perverso";4;0,0542;0,7926
5;10;0;"t_test";16;0,0479;0,7928
5;10;0;"wilcoxon";16;0,0784;0,7928
5;10;0;"perverso";16;0,0583;0,7928
5;10;0,2;"t_test";1;0,2844;0,7859
5;10;0,2;"wilcoxon";1;0,257;0,7859
5;10;0,2;"perverso";1;0,2808;0,7859
5;10;0,2;"t_test";4;0,1502;0,7915
5;10;0,2;"wilcoxon";4;0,1463;0,7915
5;10;0,2;"perverso";4;0,1512;0,7915
5;10;0,2;"t_test";16;0,0731;0,7935
5;10;0,2;"wilcoxon";16;0,0992;0,7935
5;10;0,2;"perverso";16;0,0836;0,7935
5;10;0,5;"t_test";1;0,94;0,7899
5;10;0,5;"wilcoxon";1;0,9137;0,7899
5;10;0,5;"perverso";1;0,9331;0,7899
5;10;0,5;"t_test";4;0,5997;0,7879
5;10;0,5;"wilcoxon";4;0,5179;0,7879
5;10;0,5;"perverso";4;0,58;0,7879
5;10;0,5;"t_test";16;0,2229;0,7915
5;10;0,5;"wilcoxon";16;0,2046;0,7915
5;10;0,5;"perverso";16;0,2194;0,7915
5;20;0;"t_test";1;0,0539;0,791
5;20;0;"wilcoxon";1;0,0533;0,791
5;20;0;"perverso";1;0,0549;0,791
5;20;0;"t_test";4;0,0447;0,7856
5;20;0;"wilcoxon";4;0,0578;0,7856
5;20;0;"perverso";4;0,051;0,7856
5;20;0;"t_test";16;0,0487;0,7945
5;20;0;"wilcoxon";16;0,0835;0,7945
5;20;0;"perverso";16;0,0617;0,7945
5;20;0,2;"t_test";1;0,2894;0,7909
5;20;0,2;"wilcoxon";1;0,2657;0,7909
5;20;0,2;"perverso";1;0,2845;0,7909
5;20;0,2;"t_test";4;0,1386;0,7954
5;20;0,2;"wilcoxon";4;0,1364;0,7954
5;20;0,2;"perverso";4;0,138;0,7954
5;20;0,2;"t_test";16;0,0809;0,7989
5;20;0,2;"wilcoxon";16;0,1008;0,7989
5;20;0,2;"perverso";16;0,0903;0,7989
5;20;0,5;"t_test";1;0,942;0,7926
5;20;0,5;"wilcoxon";1;0,9144;0,7926
5;20;0,5;"perverso";1;0,9345;0,7926
5;20;0,5;"t_test";4;0,6028;0,795
5;20;0,5;"wilcoxon";4;0,5188;0,795
5;20;0,5;"perverso";4;0,58;0,795
5;20;0,5;"t_test";16;0,2256;0,7963
5;20;0,5;"wilcoxon";16;0,2033;0,7963
5;20;0,5;"perverso";16;0,2251;0,7963
5;50;0;"t_test";1;0,0501;0,7937
5;50;0;"wilcoxon";1;0,0489;0,7937
5;50;0;"perverso";1;0,0501;0,7937
5;50;0;"t_test";4;0,0496;0,7794
5;50;0;"wilcoxon";4;0,0621;0,7794
5;50;0;"perverso";4;0,0547;0,7794
5;50;0;"t_test";16;0,0476;0,7916
5;50;0;"wilcoxon";16;0,0787;0,7916
5;50;0;"perverso";16;0,06;0,7916
5;50;0,2;"t_test";1;0,2849;0,7902
5;50;0,2;"wilcoxon";1;0,2625;0,7902
5;50;0,2;"perverso";1;0,2827;0,7902
5;50;0,2;"t_test";4;0,139;0,7959
5;50;0,2;"wilcoxon";4;0,1357;0,7959
5;50;0,2;"perverso";4;0,1399;0,7959
5;50;0,2;"t_test";16;0,0725;0,7926
5;50;0,2;"wilcoxon";16;0,0948;0,7926
5;50;0,2;"perverso";16;0,0809;0,7926
